userName,score,at,content
Eko Haryanto,4,2023-05-12 07:29:49,X dteey 5k4 gu.b 3
Rocky Siregar,4,2023-05-12 07:28:12,Menyenangkan
iRa chanel,5,2023-05-12 05:43:44,Mantap
Bang John,5,2023-05-12 03:29:02,Terima kasih
ikaa yolanda,5,2023-05-12 03:22:41,mantap
Mamad Nurjaman,3,2023-05-12 02:39:12,"Mimin, gagal juga via link utk upgrade akunnya"
Robbyk Priyatna,5,2023-05-12 02:32:50,Keren
Chairun Nisa Alfathiyah,5,2023-05-12 00:35:49,Good apps!
eko hartanto,5,2023-05-11 22:33:42,Oke membantu.
Muhamad Emif,5,2023-05-11 17:22:12,Samgat bagus
M Togi Butar Butar,3,2023-05-11 16:16:53,Sangat berguna mencegah spam. Mantap
ki demang18,5,2023-05-11 15:09:37,Good....hrs bnyk perubahan dri apk nya..
IZZUL UMAM,5,2023-05-11 13:05:22,mantaaabb.👍👍👍👍
Moh Mukhon,5,2023-05-11 11:01:35,Good
Nazwa Azzahra,5,2023-05-11 10:37:54,Aplikasi luar biasa
abraham bara,5,2023-05-11 10:22:56,Keren
Waluyo Puji,5,2023-05-11 09:49:14,Mantap
Gunawan Sudrajat,5,2023-05-11 09:05:07,Sangat istimewa
Gaming Noob,5,2023-05-11 09:02:42,Ok banget sangat bagus apk nya mantullll
Dadan Rustandi,5,2023-05-11 07:51:19,Aplikasinya bermanfaat
Badawi Rifai,5,2023-05-11 07:45:11,Aplikasi sangat bagus...
Teddy Artha Suheri,5,2023-05-11 07:23:27,Ok mnatb
Gaizal Maulana,5,2023-05-11 07:17:58,Bgs
Candi M,5,2023-05-11 07:15:18,sangat bagus dan membantu
Adam ulya,5,2023-05-11 06:21:58,sangat memuaskan terimakasih
Miftahudin Barsah,5,2023-05-11 05:28:17,Sangat membantu
Dian Lilik,5,2023-05-11 04:37:36,Aplikasi yg sangat membantu..
Azka Ayam Crispy,5,2023-05-11 03:34:53,Bagus Sekali
Budi Supriyanto,5,2023-05-11 03:31:35,Bermanfaat
aris febrian,5,2023-05-11 03:20:37,nice
anjas mara,5,2023-05-11 03:08:18,Mantab
Benny Bachtiar,5,2023-05-11 02:58:54,Mantap
Ekspedisi Hitam Putih,4,2023-05-11 02:47:05,Baik
Wawan Setiawan,5,2023-05-11 02:44:31,Mantap
Dunia Bola kita,5,2023-05-11 02:34:48,Keren sih
John Ward,5,2023-05-11 02:30:27,Ok
Dedik Utomo,5,2023-05-10 19:15:58,Dedikutomo45
septian prakarsawan,5,2023-05-10 15:43:19,Sejauh ini kami masih percaya dengan Aplikasi ini.... Terus berkarya buat developx
Fian Yunli,5,2023-05-10 15:40:30,Good jop
Adisuherlan Suherlan,3,2023-05-10 15:33:53,👍
Adi,1,2023-05-10 14:44:59,Belum apa-apa udah di suru tingkat kan ke premium
Arif Susanto,1,2023-05-10 10:53:24,Still ringing spam incoming call. Missing classic popup id caller at Android 13. I'm premium user.
jepry fransyono,5,2023-05-10 10:38:51,ok
Nur Budi Rahmanto,5,2023-05-10 10:24:52,Cepat mengidentifikasi nomor telepon yg masuk
Zain Baswedan,5,2023-05-10 08:10:30,Good job
Bayu Ferdinand,5,2023-05-10 06:53:52,Bagus
Tyan Raharjo,5,2023-05-10 06:26:54,Mantap
Kapten Usman,5,2023-05-10 06:19:20,Bagus
Hadi Hadi,5,2023-05-10 06:15:14,Ok
Abdul Rachman,5,2023-05-10 04:53:45,Bagus
AHMAD MASHURI,4,2023-05-10 04:13:26,Aplikasinya Lumayan min
Hino Sby,5,2023-05-10 04:11:27,Sangat membantu
INI DaFFA,5,2023-05-10 03:55:42,Bgus
gunawan Lampung,5,2023-05-10 02:48:26,Goodjob
ahmad ichsab,5,2023-05-10 02:19:30,"Mantap,,,sangat membantu"
Amel putri,5,2023-05-10 01:30:21,sangat memuaskan
Febrian Dwi,5,2023-05-10 01:04:23,Bagus
Oka sansan,5,2023-05-10 00:45:50,Aplikasi yang sangat amat bermanfaat
Shasuu JR,5,2023-05-10 00:26:50,Mantap
Arif Setyawan 21,5,2023-05-09 19:16:34,Keren
Rizal Bagus,5,2023-05-09 12:25:15,good aplikasi
Syahroji 83,5,2023-05-09 11:58:09,Ok
Intan Lamenty,5,2023-05-09 11:37:05,Mantap sekali aplikasi nya ....
Nurdiah Fitriansyah,5,2023-05-09 11:09:27,Sangat membantu Jd g perlu angkat tlp lg HCI HCI terlampau Stupid!!! Org g mkn duitnya n tanpa mengenal knp dterorr harusnya anda lbh pinter pya data Peminjam dtgin orgnya g mesti teror sana terorr sini Mengganggu sekali g ad kaitannya dgn Sy HCI smpe Kiamat jg g bakal sy Angkat!!!! Tq truecaller 🤗🙏
Jaluk Keren,5,2023-05-09 09:49:56,Bagus
Abid Surya,5,2023-05-09 09:46:27,Sangat bagus
꧋ꦲꦼꦲꦼꦏꦺꦴ,5,2023-05-09 09:17:45,Ok...sementara
Yosua Yuni Siswoko,5,2023-05-09 08:28:08,Sangat bagus sekali.
Sri Wahyuni,5,2023-05-09 08:17:08,Kerreeen.. sangat membantu untuk menghindari panggilan2 yg tidak penting dr orang asing
Dedy Syah Hendra Pohan,5,2023-05-09 07:02:03,Sangat membantu menghindari panggilan2 telpon yg gak penting. Terutama dr asuransi dan penawaran kartu kredit.
Jacobus Joris,5,2023-05-09 06:02:34,Ok
Naofal Maulana,5,2023-05-09 04:10:16,mantep
Dadang Hamdani,5,2023-05-09 02:30:38,Oke
Rizki Dasuki,5,2023-05-09 02:28:38,Biar bintang yg bicara
Agus Setiawan,5,2023-05-09 01:39:31,Good
Bandono Karangwaru riverside,5,2023-05-09 01:32:56,Bisa diandalkan
Jhen Doank,4,2023-05-08 22:38:31,Percobaan
Nadim Ananda,5,2023-05-08 15:13:06,Boleh laah
Ateng Supardi,5,2023-05-08 12:45:52,Cukup membantu
Ahmad Andrian,1,2023-05-08 12:32:14,kg bisa di install payah.
Rianita Atalina,5,2023-05-08 11:07:50,Alhamdulilah
Kede Vendor,5,2023-05-08 09:39:01,Great work
Sendhi Sugihartino,5,2023-05-08 08:44:06,Kelasss Optimalkan dengan bisa membaca whatsapp
Edward Hari N,5,2023-05-08 08:20:36,Sangat bermanfaat
Zahra Septi,5,2023-05-08 08:18:28,Hiajbouh haji cekeng
hendri yanto,5,2023-05-08 07:35:35,good
Dimas Alferrari,5,2023-05-08 06:59:08,Membantu
Andy daga Andy daga,5,2023-05-08 06:16:00,Sangat bgus aplikasi ini
Novianti Tri Astuti Astuti,5,2023-05-08 05:08:43,Keren Membantu dlm kenyamanan
qellinq karet,5,2023-05-08 03:39:08,Terima kasih
ochiem doank,4,2023-05-08 03:05:41,"bagus, langsung ketahuan siapa yg nelpon...."
Yohanes nico Kressepta,5,2023-05-08 03:01:40,Membantu
Hendra Wijaya,5,2023-05-08 02:16:00,Cukup memadai....👍
Kok Siong,5,2023-05-08 02:14:30,Mantap
Nia Kurnia Apriani,5,2023-05-08 01:10:25,Sangat memberikan keamanan...
san tani,5,2023-05-08 00:23:55,Mantap siipo
Hendy Ho,5,2023-05-07 17:10:12,🤙🤙🤙🤙🤙
Hari Kurniawan,5,2023-05-07 12:46:45,Sippp
Kahfi Suryana,5,2023-05-07 11:57:36,Mantap
Chilabel chanel,5,2023-05-07 11:52:02,👍🤩
Yuli Lestari,5,2023-05-07 11:45:06,"Good, sangat terbantu"
Edy Santosa,5,2023-05-07 10:29:52,Membantu memblokir telpon yg diduga spam atau penipu
wt wt,5,2023-05-07 09:57:09,"Bagus,senang menggunakan aplikasi truecaler .."
Lanang Purwo,4,2023-05-07 06:05:08,👍👍👍
Azil Azilyu,4,2023-05-07 05:59:36,Saya sangat suka skali
Hasan Basri,5,2023-05-07 05:46:57,The best
D'Nang Mappagawe,5,2023-05-07 04:10:10,Keren banget aplikasinya.. Bisa bantu mengetahui telp masuk yy tdk jelas👍👍👍
Kipas,5,2023-05-07 04:03:49,Terimakasih truecaller ini sangat membantu sekali. Klo boleh tambahkan juga menu untuk memblokir nomor nomor baru yg tida dikenal ya. Bukan hanya spam saya. Karna masih aja ada nomor nomor dc onlen yg masih bisa meneror ke hp saya.
Sukma Niar,5,2023-05-07 04:01:14,terimakasih atas bantuannya
Vicky Cieng,5,2023-05-07 02:46:17,Nice
Herikhresnafa Widodo,5,2023-05-07 02:21:04,Good job
Komara Adi,5,2023-05-07 02:11:06,Aplikasi bagus
Widi Utami,5,2023-05-07 01:52:22,Sangat2 bermanfaat
ABDUR ROHIM,4,2023-05-07 01:45:19,Empat dulu
Sri Yulianti Hp,5,2023-05-06 15:29:24,Ok
Whjk,5,2023-05-06 15:23:05,"Aplikasi yang bagus recomended pokoknya, Bisa memblokir panggilan yg tak di kenal, Jangan ragu deh instal Aplikasi ini"
PEDE NEARMS,5,2023-05-06 14:34:59,Sangat membantu
Ervina Silviana,5,2023-05-06 12:52:53,Bagus
Ariyadi Milanisti,5,2023-05-06 11:42:47,Aplikasi yg sangat berguna..
jahanam bangsat,4,2023-05-06 11:38:05,"Malah banyak nomor spam,judi online pada masuk."
asnadi abeng,3,2023-05-06 10:40:38,Mantap
fuad Syaifudin,5,2023-05-06 09:42:04,Top bgt dah
SRIWIJAYA BIRD,5,2023-05-06 09:29:56,top
edy mayudi,5,2023-05-06 09:10:29,Ok
Asad Amih,3,2023-05-06 07:09:37,Ok
Tika Kartika,5,2023-05-06 06:35:40,Sangat membantu sekali
Adi Ikbar,5,2023-05-06 05:52:33,Aplikaai berguna bangt
Yoes Riadi,5,2023-05-06 05:29:00,Cukup efektif 👍
Rudy Darmawan,5,2023-05-06 04:47:19,Mntapp
A & S Channel,5,2023-05-06 04:44:31,Keren
Muhammad Iskandar Suyitno,5,2023-05-06 04:41:26,Sangat bagus
Alexa TV,5,2023-05-06 03:11:51,Mantap apk jos top markotop
Niko Wiguna Setiawan,5,2023-05-06 03:03:43,Sempurna
Achmad Aldy Febrian,5,2023-05-06 02:51:13,Ok
Andi Ruhaedi,3,2023-05-06 02:37:47,Tolong d tingkat kn lagi kinerja sistem nya
Andi Fajar,5,2023-05-06 02:19:30,Cukup membantu
Elvira nada Aulia putri,5,2023-05-06 02:06:26,"Apk yg sangat membantu sya saat ad pnggilan n sms spam,jdi tenang sy,mksih truecaller smoga sukses sllu."
Andes Ajja,5,2023-05-06 01:37:15,Kereenn
Dessy Aditya,5,2023-05-06 01:00:23,Bagussssss
20. Rahma Herley,5,2023-05-05 18:11:27,Keren
Johny Febrian,5,2023-05-05 13:41:20,Mantap
Nur Syamsi,4,2023-05-05 13:29:03,Telpon dari nomer telpon yang di blokir masih bisa masuk
ErikaTiur Manullang,5,2023-05-05 11:49:47,Bagusss
Toyota Jawabarat,5,2023-05-05 11:30:26,Mantap jiwa
Nories fazar Khasvoyu,5,2023-05-05 10:53:06,Kuwennn
Rahman M,5,2023-05-05 07:45:57,Google job
Kosong,5,2023-05-05 07:05:22,Mantap I👍👍👍
puji kasianto99,5,2023-05-05 05:59:22,Ok
Agoos,5,2023-05-05 05:48:25,Aplikasi yang baik dan sangat membantu......mudah dan murah
phitri andani,5,2023-05-05 05:38:02,Good joob...
Tuan Toank,5,2023-05-05 04:47:51,mengesankan
Tedjo Baskoro,5,2023-05-05 04:38:25,sangat membantu
Fatimah Mulia Rahayu,5,2023-05-05 04:33:19,Sangan membantu
Tristan Altair,5,2023-05-05 04:26:58,Sangat berguna
eko sulistyo,5,2023-05-05 03:38:39,Good..
Miyuki 2nd,5,2023-05-05 03:08:48,Bagus bngt aplikasi nya
Leni Sumarni,5,2023-05-05 02:48:13,Sangat membantu
Herry Kurniawan,5,2023-05-05 02:33:12,Good job
achmad iqbal maulana,3,2023-05-05 02:31:11,Kenapa fitur rekam panggilan menjadi tidak ada?
penceng sangar,5,2023-05-05 02:19:41,ok
Khairunnisa nurul mutmainah,5,2023-05-05 02:19:03,bagus..jadi tahu panggilan2 spam ..
M2 Movie,4,2023-05-05 01:49:14,Good
Bayu Kristiyanto2323,5,2023-05-05 01:47:18,Terbaik
Andriyani Putri,3,2023-05-05 01:25:00,Masih blom ke blokr SMS nyh masih aja ada SMS masuk trs tlpn nyh GK blokr permanen
Yoyok Budiarto,5,2023-05-05 01:04:00,bagus
Lhailatul Azkia,5,2023-05-05 01:02:24,"Saya sering mendapat trlfn dari orang tak di kenal, dengan menggunakan truecall saya jadi lebih nyaman. Terimakasih Trurcall 🥰"
tri mahendra,5,2023-05-05 00:58:30,Mantul
Misri Anto,5,2023-05-04 23:00:29,Coba dulu
QForce,5,2023-05-04 22:09:54,sangat membantu untuk mengetahui nomor2 yg masuk agar terhindar dr penipuan dll
Dian Natalia,5,2023-05-04 16:22:01,Mantabb
Asep Rohimat,5,2023-05-04 14:11:09,Like it.
Syarifullah,5,2023-05-04 13:47:12,Good
Agung Gunawan,5,2023-05-04 13:07:25,Apk nya mantep bagus
doriy Umadani,5,2023-05-04 09:47:18,Membantu good job
Mutiara Intan,5,2023-05-04 09:25:20,Mantaap
Odi Masuk,5,2023-05-04 09:20:36,"Mantab betul aplikasinya & bagus banget tapi tingkatkan kualitas yang terbaik lagi dong bos,makasih 🙏"
Kudo Yogichi,1,2023-05-04 08:52:29,Aplikasi tolol udh di download Iklannya mah menjanjikan Rupanya harus berlangganan dlu Gabisa cek sama sekali kalo belom berlangganan
Augusto,5,2023-05-04 07:19:08,Berguna banget nihh aplikasi
Faisal Ahmad,5,2023-05-04 07:01:41,Good
Candra Lesmana Channel,5,2023-05-04 06:26:58,Mantap sekali
Samsul Nursalim,5,2023-05-04 06:16:37,Aplikasi sangat informatif
Othenktop Markotop,5,2023-05-04 05:57:32,Mantab
Nurseha Nurseha,5,2023-05-04 05:45:12,Alhamdulillah membantu sekali
Bintang “Laba laba” 4as,5,2023-05-04 05:15:33,KOPI HITAM JANGAN DI ADUK MANNNNTAAABBBBB
Shilpa Eka,5,2023-05-04 05:15:31,Bagus keren
Bolo Dewo,5,2023-05-04 05:12:49,sangat membantu menolak panggilan yg meresahkan..👍👍
Ina Wulandari,5,2023-05-04 04:48:21,𝙱𝚊𝚐𝚞𝚜 𝚗𝚒 𝚊𝚙𝚕𝚒𝚔𝚊𝚜𝚒𝚗𝚢𝚊
Awaludin Annazmi,4,2023-05-04 04:01:17,"Oke...cuma bingung,bagaimana cara mengetahui yang sedang dihubungi di ponsel kita sim 1 atau sim 2 untuk ponsel yang menggunakan 2 kartu sim ketika sedang ada penggilan."
wahyu hidayat,5,2023-05-04 03:37:14,Bagus
Dol Syukur,5,2023-05-04 03:33:49,bgus sangat berfungsi
Tarmidi Tahir,5,2023-05-04 02:43:42,Sangat bagus
Taryadi Adi,1,2023-05-04 02:36:04,Kk
Taufik Nikel,4,2023-05-04 02:17:50,"Bagus ini aplikasi jadi GK keganggu dri no yg TDK dikenal,kurang cuma 1 kontak ku sebagian hilang semenjak pake aplikasi ini"
Jerry Agustian,1,2023-05-04 02:01:35,Gimana sihh aplikasi ini udah download susah-susah hp gue ketemu kagak. Kalo niat bikin jangan bikin pusing cuakkksss
Kelistrikan mobil Jaya motor,5,2023-05-04 01:46:40,Sangat membantu mengindentifikasi telp yg masuk menghindari telp penipuan.
Aep Saepudin,5,2023-05-04 01:33:51,Mantap
agus prianto,4,2023-05-04 01:02:14,Sangat membantu
Arif Saripudin,5,2023-05-04 00:22:44,Ok
Hanhan Mulyadi,5,2023-05-03 15:27:58,Mantaf Berguna Untuk Masa Depan
Akmar Eki,4,2023-05-03 13:19:43,Mayan Ya gitu deh Di dunia ini gk ada yg sempurna..aplgi buatan manusia🤭
All All,5,2023-05-03 12:36:31,Bagus sekali
Adam Lahati,4,2023-05-03 12:27:33,Mantap
Elis Sulastri,5,2023-05-03 10:14:43,Goods ....
Awenk Satto,5,2023-05-03 08:50:09,Sangat membantu
agil pratadina,5,2023-05-03 08:14:45,@ᕦ( ͡° ͜ʖ ͡°)aᕤᕦ( ͡° ͜ʖ ͡°)ᕤ❤
hendri padang,2,2023-05-03 07:22:03,Kasih due dulu kalau bagas baru di tambah bro
acim tea,5,2023-05-03 06:50:57,bukan kaleng² mantap
Barnas Syam,5,2023-05-03 06:37:23,Excellent
Annisa Mutiara,5,2023-05-03 06:21:48,Membantu
Jojo junio,5,2023-05-03 05:23:33,Terimakasih sekali aplikasi ini sangat membantu saya dari spam
Dikri Romansyah,5,2023-05-03 04:35:49,Membantu
yudi hermawan,5,2023-05-03 04:33:30,👍👍
Toto Tarimo,5,2023-05-03 03:55:14,Bagus sekali
Syahrul Sidik,5,2023-05-03 03:33:23,Oke
pratiwi rianti novrida,5,2023-05-03 03:19:53,sangat membantu
Adi mohamad yusuf,5,2023-05-03 02:37:06,Bermanfaat sekali aplikasinya
Isya Cahya,5,2023-05-03 02:14:56,Aplikasi yg sangat berguna..👍👍👍
Terto Pulung,5,2023-05-03 01:54:18,Jadi andalan ditengah gempuran penelpon gelap
Oji Fahroji,5,2023-05-03 01:53:02,Sangat membantu terimakasih
Endro Gunawan,5,2023-05-03 00:13:28,Mantabbbb..
OQ Bike,5,2023-05-02 18:18:11,Good aps 👍
Eko Waluyo,5,2023-05-02 15:26:01,Mantap
Devi Dy,4,2023-05-02 14:15:53,Keren..
Ninik Riris,4,2023-05-02 12:48:54,Membantu untuk mendengar dering berulang
land chanels,4,2023-05-02 12:36:57,Nyoba dulu
Muhadi Vivo,4,2023-05-02 12:22:35,No bad
boy sosnarto,5,2023-05-02 09:49:32,Mantap
Paskalis Combo,4,2023-05-02 09:44:49,Ok
Ryo Utama,5,2023-05-02 09:07:08,Sudah tidak bisa konek ke wa lagi
Michaela Deva,5,2023-05-02 07:58:35,Sangat membantu sekali
tom Delomong,5,2023-05-02 07:53:14,Mantab
Dede Hertanto,5,2023-05-02 06:47:53,Ok
Ibro Roonie,5,2023-05-02 06:00:26,Lancar jaya
tubagus handoko,5,2023-05-02 05:47:25,Okay
Firdaus Wajdi Muhammad,5,2023-05-02 05:34:32,Merasa semakin nyaman
Ari Juanda,4,2023-05-02 05:26:58,bagus aplikasi nya
Mulyanto yanto,5,2023-05-02 05:13:27,Suka
danil Kusuma,5,2023-05-02 04:57:28,mantap dan sangat berguna
CAHYADI,2,2023-05-02 03:33:21,Hari ini berhenti layanan.. buat teman² yang lain yang ingin berhenti masuk ke pengaturan layanan google klik berhenti langganan..
Kotir m,5,2023-05-02 03:16:19,"Mayan buat jaga"" dari telpon yg mengganggu"
Agus Salim,5,2023-05-02 02:04:18,Sangat bagus sekali
Diyah Marlina83,5,2023-05-02 02:04:02,Sangat membantu
Koedil Aja,5,2023-05-02 01:52:03,good
I MADE SUANDI KUSUMA ANTARA,5,2023-05-02 00:55:08,Bagus
reza rkd,1,2023-05-01 16:19:28,Fake
wie astuti,5,2023-05-01 12:54:00,Baik
Jd Fhdd,5,2023-05-01 12:47:10,Apl luer biasa 👍👍👍🙏
Makemah Suhu,5,2023-05-01 11:27:18,Topdah
Robi S,5,2023-05-01 08:07:40,Memuaskan...
Muhammad Risky Ramadhan,5,2023-05-01 07:35:22,Bagus... Dan cocok untuk membelok nomor yg sering mengganggu.
Nur Kholifa,5,2023-05-01 07:06:16,Bagus kugh buat identifikasi nomer tak dikenal
Dewi Puspita,5,2023-05-01 06:13:36,Apk yang sangat membantu . The best
Taufik arsih Firmansyah,5,2023-05-01 06:07:55,Mantapp 👍👍
kasiran kasiran,5,2023-05-01 06:07:06,Aplikasi ini sangat membantu
mas-echo chanel,5,2023-05-01 05:51:08,Sangat membantu
Mat Mat,5,2023-05-01 04:56:19,Sagat bagus dan mrmbantu
Tjahjono Rosi,5,2023-05-01 01:55:12,"Sangat membantu,bagus sekali.."
Bugy Raihan,5,2023-05-01 01:41:05,Mantep mennnn
Stefani Tepa,5,2023-05-01 01:31:45,Mantap
Erlangga Ryan,5,2023-04-30 18:26:31,Kereeeeeeen
Bimo,1,2023-04-30 14:21:18,Gara² lu gw telp tiba² mati
Sakina Husaina Afkar,5,2023-04-30 10:42:34,(Y)
AbduL Bae,5,2023-04-30 09:37:33,Mantap
Rosan Andesta,5,2023-04-30 09:36:07,Mantap
Jp Paulz,4,2023-04-30 09:26:28,"Mantap sih, hanya saja klw mau fitur lengkap harus pakai yg premium. Semoga ke depan bisa digeratiskan fitur nya 😄✌"
Alvin alvino,1,2023-04-30 06:37:22,Saya sangat suka aplikasi ini
dunia kicau,5,2023-04-30 06:25:42,Kerja baik
Jumain Jumain,5,2023-04-30 06:11:42,Ok
Kennedy Toisuta,5,2023-04-30 04:01:11,Mudah cepat dan aman
Feriana Irrawanti,5,2023-04-30 03:55:41,Sangat membantu
34. Widya Ayu,5,2023-04-30 03:43:22,Sangat membantu sekali kalo ada panggilan yg tidak diingin kan terutama dari spam
hartono Hartono,5,2023-04-30 03:21:07,Mantap
agus purnawan,5,2023-04-30 02:53:59,Bagus
nopan suryanto,5,2023-04-30 02:42:10,Baik
Fitria Dewi Rismawati,5,2023-04-29 22:30:33,Ok good
Yolanda Sanggelorang,5,2023-04-29 20:57:44,Sangat bagus
SANGBISMA 1627,2,2023-04-29 17:59:32,"8 67٦٦٨٨٧٨٨٧ ,99"
Jambul 86,1,2023-04-29 15:10:46,Udh k premium g bisa lihat lokasi no hp nya
A Arianto (Arie),5,2023-04-29 13:54:41,"Bagus tingkatkan lg pelayanan yg baik pd plnggan, bila perlu tambah menu pilihan tampilan lokasi si penelpon memudahkan mencomot penelpon gelap tsbt thanks. TRUECALLER DIMOHON DATA PRIBADI SAYA DIHAPUS ANDA TIDAK PUNYA HAK BUAT EXPOSE DATA PRIBADI SAYA TRIMA KASIH"
Ledy Dian Ratih,5,2023-04-29 11:12:54,Aplikasi yg sangat membantu apalagi jika ada no yg tidak dikenal pokoknya TOP bangets 🤩👍🏻
Agape Siahaan,4,2023-04-29 10:58:13,Terimakasih true caller
Elshe Afriani,5,2023-04-29 10:06:29,Sangat membantu
Kamaludin Kamal,5,2023-04-29 09:51:51,Sangat membantu
Novita Pail,5,2023-04-29 08:38:05,👍
ciani satyawati,5,2023-04-29 08:05:58,good
PRESPEKTIF,5,2023-04-29 07:01:53,Oke
warung anna,5,2023-04-29 06:44:44,Mantap fix penipu ketar ketir
Ayu Rahayu,5,2023-04-29 05:58:53,Good
Hafiedzah 03,5,2023-04-29 04:04:29,Sangat berguna memblokir panggilan2 ngga jelas.
Hartoyo Hairan,1,2023-04-29 04:03:00,"Saya sudah berhenti berlanggan bahkan saya sudah uninstall aplikasinya kenapa tiba² hari tanggal 29 April 2023, account tsel google play saya langsung terpotong, lalu saya cb install aplikasinya, kadaluarsa langganan saya sebelumnya masih tanggal 30 April 2023 dan ternyata juga aplikasinya tidak masuk dalam langganan, data saya di aplikasi ini tidak aman,..cb admin di kembalikan saldo saya"
wahyu Wiji Astuti,5,2023-04-29 03:23:31,Bagus
Christian Ady Putra,5,2023-04-29 03:05:35,Ok
Mochtarom Mr,5,2023-04-29 00:58:22,Bagus
Zain Baswedan,5,2023-04-28 13:49:56,Good job sangat membantu
